Hyperparameters,F1-Score on Deceased,Recall on Deceased,Overall Accuracy,Overall Recall(Macro),Overall F1-Score(Macro)
"{'depth': 7, 'l2_leaf_reg': 0.06222195671176678, 'learning_rate': 0.5126811130716522, 'n_estimators': 309}",0.2161470260897799,0.2283003358188604,0.8570171849427168,0.6907474689800445,0.6883988445341735
"{'depth': 9, 'l2_leaf_reg': 0.1507489362129387, 'learning_rate': 0.44813777705433044, 'n_estimators': 352}",0.21558290682895284,0.20874960067942933,0.8593323786142936,0.689053473442435,0.6890671967761186
"{'depth': 9, 'l2_leaf_reg': 0.21471562407826886, 'learning_rate': 0.46280545939878287, 'n_estimators': 236}",0.2151114986702674,0.22102841604138906,0.8608121931260229,0.6928264560966639,0.6904720991507675
"{'depth': 9, 'l2_leaf_reg': 0.03387107739878162, 'learning_rate': 0.30406167496512543, 'n_estimators': 565}",0.21486562422182093,0.20595669417108842,0.8613884342607747,0.6903883440373957,0.6906903361855716
"{'depth': 10, 'l2_leaf_reg': 0.09511949979732984, 'learning_rate': 0.44957821332548153, 'n_estimators': 258}",0.21380397991060116,0.21294110313768572,0.8589129841789417,0.6905265665306033,0.6888053294050056
"{'depth': 8, 'l2_leaf_reg': 0.2200627173468922, 'learning_rate': 0.41809630868634784, 'n_estimators': 568}",0.21307148374901078,0.22409948341553493,0.8577502727768685,0.6929564570477431,0.6881622735170336
"{'depth': 8, 'l2_leaf_reg': 0.09971016081739884, 'learning_rate': 0.5224287920623631, 'n_estimators': 562}",0.21164423857712134,0.20791823473037097,0.8595540098199672,0.6894789059306063,0.6886121596289325
"{'depth': 9, 'l2_leaf_reg': 0.2334617052417718, 'learning_rate': 0.38980276546803866, 'n_estimators': 497}",0.20755121457961162,0.21963761171236454,0.85764116202946,0.691077647072073,0.6865518429897349
"{'depth': 9, 'l2_leaf_reg': 0.06350804399127852, 'learning_rate': 0.4824324442983544, 'n_estimators': 481}",0.20693184974250362,0.2101509236966566,0.8554009819967267,0.6874759706379179,0.6844856060696355
"{'depth': 10, 'l2_leaf_reg': 0.13289896210123614, 'learning_rate': 0.4561196854608139, 'n_estimators': 302}",0.2052548195723949,0.2031676834731929,0.8568091925804691,0.6864021545117047,0.6848832143004848
"{'depth': 10, 'l2_leaf_reg': 0.19299280306058123, 'learning_rate': 0.5183086275580157, 'n_estimators': 493}",0.20443524487634165,0.19758966207740195,0.8564886797599562,0.6843690448644317,0.6841690365610036
"{'depth': 9, 'l2_leaf_reg': 0.14202426220980235, 'learning_rate': 0.5379468779053889, 'n_estimators': 362}",0.20187773105889759,0.20987198366876259,0.8592914620840153,0.6897304929147193,0.6864143703142711
"{'depth': 10, 'l2_leaf_reg': 0.17396855362038904, 'learning_rate': 0.3620047028217161, 'n_estimators': 577}",0.2018176220706573,0.2076353988920315,0.8583981178396073,0.6884176430138806,0.6855567551249544
"{'depth': 11, 'l2_leaf_reg': 0.2001115684103188, 'learning_rate': 0.46234988455838577, 'n_estimators': 525}",0.1952153452213751,0.1931254528879643,0.854101882160393,0.6813005707306214,0.6799838149234463
"{'depth': 11, 'l2_leaf_reg': 0.09082683884504103, 'learning_rate': 0.6420250749881831, 'n_estimators': 323}",0.1921762596247659,0.19758849333426834,0.8533994817239499,0.681466888316743,0.6788071128552223
"{'depth': 9, 'l2_leaf_reg': 0.12569493306591542, 'learning_rate': 0.6952641842557499, 'n_estimators': 462}",0.19094189121009253,0.22578247352796801,0.8527755046372067,0.6887295479017593,0.6793193691504709
"{'depth': 9, 'l2_leaf_reg': 0.09933429327492585, 'learning_rate': 0.7685767046478638, 'n_estimators': 130}",0.1891091438087383,0.2277381703715824,0.8186136115657392,0.6619786253383484,0.6586947859657768
"{'depth': 11, 'l2_leaf_reg': 0.12166499971017608, 'learning_rate': 0.7390653479047777, 'n_estimators': 461}",0.1757735524164319,0.1889401837264206,0.8418166939443534,0.6709144809153826,0.6661597458717876
"{'depth': 9, 'l2_leaf_reg': 0.20935575127536002, 'learning_rate': 0.8343329233026264, 'n_estimators': 149}",0.1618444734567264,0.21489641040025553,0.8191659847244953,0.6565153708961919,0.6460270833165586
"{'depth': 7, 'l2_leaf_reg': 0.2170321298044507, 'learning_rate': 0.8412351812883552, 'n_estimators': 464}",0.1581155629818491,0.23078897953141192,0.8249522640480087,0.6630613230258616,0.6484454638600713
"{'depth': 11, 'l2_leaf_reg': 0.1430994241358302, 'learning_rate': 0.709752153209861, 'n_estimators': 198}",0.15676911933746113,0.21822732833111275,0.8398663393344246,0.6737430878219905,0.6612670565619385
"{'depth': 11, 'l2_leaf_reg': 0.2305234372573232, 'learning_rate': 0.8828495603404656, 'n_estimators': 210}",0.13681263098986357,0.20064280872349877,0.8077980087288598,0.6410419781877417,0.6280742931812109
"{'depth': 8, 'l2_leaf_reg': 0.0942910865997772, 'learning_rate': 0.7507355422214117, 'n_estimators': 269}",0.12825052370218812,0.22578325269005708,0.7926111565739224,0.6427148841612129,0.6166441461853621
"{'depth': 10, 'l2_leaf_reg': 0.021965581407039386, 'learning_rate': 0.6549281541905714, 'n_estimators': 292}",0.11563316926006062,0.24586420763111344,0.7951820785597381,0.6418554683924647,0.619463810647704
"{'depth': 11, 'l2_leaf_reg': 0.0004148192121100902, 'learning_rate': 0.7465525050439095, 'n_estimators': 399}",0.11272806535862138,0.24476364118027477,0.7892082651391161,0.633484956246976,0.6087876149375493
"{'depth': 11, 'l2_leaf_reg': 0.03372989151731798, 'learning_rate': 0.8335627134923123, 'n_estimators': 573}",0.11146308134767562,0.2525653911783268,0.794714948172395,0.6423566526992038,0.6153366516856773
"{'depth': 10, 'l2_leaf_reg': 0.010880255902174174, 'learning_rate': 0.926519629797208, 'n_estimators': 511}",0.10933582807953068,0.265968147853798,0.790592607746863,0.64291791319132,0.6133391055177484
"{'depth': 11, 'l2_leaf_reg': 0.17241226226960016, 'learning_rate': 0.8709914403080445, 'n_estimators': 249}",0.10869468159172943,0.2313569886943581,0.7841653027823241,0.6292686875293599,0.6053661664182817
"{'depth': 8, 'l2_leaf_reg': 0.20891164410921848, 'learning_rate': 0.8355278453712887, 'n_estimators': 547}",0.10844189243503592,0.1543625285368115,0.7653573376977632,0.6013980878296239,0.5928403758628042
"{'depth': 11, 'l2_leaf_reg': 0.09372553729829214, 'learning_rate': 0.945642722989049, 'n_estimators': 371}",0.1066580819605673,0.25564658765963083,0.7899038461538461,0.6427474127565324,0.6133866368740621
"{'depth': 11, 'l2_leaf_reg': 0.0006771674234044289, 'learning_rate': 0.8822489939117144, 'n_estimators': 504}",0.10610803189087652,0.2500751891415971,0.7847279050736498,0.6360440176791371,0.607911599318989
"{'depth': 9, 'l2_leaf_reg': 0.06050216083331919, 'learning_rate': 0.830164800629283, 'n_estimators': 592}",0.10561422577540118,0.21628682514823558,0.7886388434260775,0.6284991568345364,0.6076665528443894
"{'depth': 10, 'l2_leaf_reg': 0.14065130254371483, 'learning_rate': 0.9852665941433192, 'n_estimators': 566}",0.10532560775984245,0.24114365411436545,0.7909267594108019,0.6363005200385313,0.6111816111306203
"{'depth': 11, 'l2_leaf_reg': 0.021064917452744303, 'learning_rate': 0.9272893366645996, 'n_estimators': 296}",0.1049224498283762,0.2361102670188479,0.7895901527550464,0.6363509883549717,0.6106477359707739
"{'depth': 6, 'l2_leaf_reg': 0.028854772098637432, 'learning_rate': 0.7283940715982826, 'n_estimators': 408}",0.10234382985287578,0.1881442696524158,0.7491578014184397,0.5930082417180638,0.5774217057583834
"{'depth': 8, 'l2_leaf_reg': 0.005193317408753284, 'learning_rate': 0.8237735206353445, 'n_estimators': 287}",0.10090142493229182,0.21881832277568702,0.7722858701582107,0.6178242324215241,0.5951323683813763
"{'depth': 9, 'l2_leaf_reg': 0.2432279996133273, 'learning_rate': 0.9415227769792698, 'n_estimators': 449}",0.09794311681622106,0.2567526082450932,0.7768855701036552,0.6289357142525798,0.5995498602257955
"{'depth': 11, 'l2_leaf_reg': 0.0017289661012291624, 'learning_rate': 0.8650729461111368, 'n_estimators': 160}",0.09731827074593247,0.25536375182129134,0.7787540916530279,0.6319506168325295,0.6021833520799883
"{'depth': 10, 'l2_leaf_reg': 0.11543734894710717, 'learning_rate': 0.9360901251647094, 'n_estimators': 187}",0.09560166058954618,0.24699671972760492,0.7720471903982543,0.6215820010295223,0.5946047119601353
"{'depth': 9, 'l2_leaf_reg': 0.0032573727714167167, 'learning_rate': 0.8676270669432302, 'n_estimators': 290}",0.09466225075020518,0.24505699570681688,0.772793917075832,0.6249470162302683,0.5960526320019744
"{'depth': 9, 'l2_leaf_reg': 0.13737950590898926, 'learning_rate': 0.8768020427291667, 'n_estimators': 180}",0.09371195557231171,0.2257762402312553,0.7718221494817239,0.6180346646168774,0.5940364969690582
"{'depth': 6, 'l2_leaf_reg': 0.0014312986689880014, 'learning_rate': 0.7364287838621146, 'n_estimators': 511}",0.09185325129257942,0.22943206875326272,0.7711913529732679,0.6195657671701731,0.5937580840357085
"{'depth': 6, 'l2_leaf_reg': 0.027865156812474506, 'learning_rate': 0.7701317183392427, 'n_estimators': 541}",0.09105743317810341,0.2143334657908885,0.7601200218221494,0.6090752303788858,0.5835510433943428
"{'depth': 7, 'l2_leaf_reg': 0.09307693567674158, 'learning_rate': 0.9370246433419258, 'n_estimators': 344}",0.08952698838176112,0.21572193263364578,0.7730223677032187,0.6164216551944023,0.5936295653284366
"{'depth': 9, 'l2_leaf_reg': 0.033694603308214444, 'learning_rate': 0.8396688941034134, 'n_estimators': 106}",0.08887986852588024,0.19956717545951083,0.766786006546645,0.6064045551514372,0.5869681475701187
"{'depth': 9, 'l2_leaf_reg': 0.16563439051643014, 'learning_rate': 0.8796897339228522, 'n_estimators': 322}",0.08855927272636278,0.20653210537388095,0.7847006273867976,0.6241107869739742,0.6031075529897535
"{'depth': 8, 'l2_leaf_reg': 0.05834773514987143, 'learning_rate': 0.8264043278471715, 'n_estimators': 239}",0.08707952390192245,0.20484521945100237,0.762834151663939,0.6030862471262115,0.5817320975491604
"{'depth': 8, 'l2_leaf_reg': 0.039971460302335504, 'learning_rate': 0.8800023959375098, 'n_estimators': 237}",0.08455935610373891,0.2093230639769991,0.7687056737588653,0.6095240228109288,0.5880300271659984
"{'depth': 6, 'l2_leaf_reg': 0.06502221405462777, 'learning_rate': 0.9614935313144446, 'n_estimators': 373}",0.08263377907004052,0.24504336037025784,0.7615180032733224,0.6123087383434865,0.5836477805090722
"{'depth': 8, 'l2_leaf_reg': 0.0994592326455444, 'learning_rate': 0.9400101074374643, 'n_estimators': 122}",0.06573982176120385,0.1777938804609523,0.7550838788870703,0.5926759206963899,0.5741554398989742
"{'depth': 8, 'l2_leaf_reg': 0.0023403799052386376, 'learning_rate': 0.7553645184349755, 'n_estimators': 136}",0.06034895013013323,0.16160172350654106,0.7494783142389526,0.5860915017918339,0.5679666864848718
