iter	MultiClass
178	0.3822761134
179	0.3822719434
180	0.3821939053
181	0.3820496975
182	0.3819995661
183	0.381984513
184	0.3815224019
185	0.381261366
186	0.3811950589
187	0.3810419383
188	0.3804922806
189	0.3803697017
190	0.3802714782
191	0.3801941045
192	0.380000384
193	0.3796966174
194	0.3796288209
195	0.3796189688
196	0.3791058557
197	0.3790812024
198	0.3789945036
199	0.3787295727
200	0.3783931108
201	0.3782532562
202	0.3781364282
203	0.3780916812
204	0.3780328204
205	0.3779098748
206	0.3776707428
207	0.3775291241
208	0.3772566781
209	0.3771112559
210	0.376959006
211	0.3769399662
212	0.3768349378
213	0.3765946144
214	0.3761965193
215	0.3760203035
216	0.3756039017
217	0.3752370814
218	0.3750364873
219	0.3748363743
220	0.3746424705
221	0.3743815721
222	0.3742316592
223	0.3740864662
224	0.3739098151
225	0.3737275505
226	0.3737179275
227	0.3734713033
228	0.3734088224
229	0.3732731608
230	0.3732615444
231	0.3732136355
232	0.3731480615
233	0.3731185051
234	0.3730614085
235	0.3730148285
236	0.3729760386
237	0.3728646407
238	0.3725428195
239	0.3723041686
240	0.372197124
241	0.3721065072
242	0.3719903894
243	0.3719068525
244	0.3718953278
245	0.371555956
246	0.3713317855
247	0.3713279363
248	0.3711178337
249	0.3707411612
250	0.3704896797
251	0.3704722208
252	0.3700568959
253	0.3700304326
254	0.3699087243
255	0.3698412715
256	0.3697357849
257	0.3696158408
258	0.3695241243
259	0.3694874652
260	0.3694373338
261	0.3692358691
262	0.369124517
263	0.3689647978
264	0.3688422876
265	0.3687865658
266	0.3687501128
267	0.3686781922
268	0.3685643657
269	0.3685272483
270	0.3685098123
271	0.3683159772
272	0.3681387991
273	0.3681163912
274	0.3678771676
275	0.3676922911
276	0.3676114806
277	0.3676077918
278	0.3676006433
279	0.3675685207
280	0.3673579599
281	0.3672677555
282	0.367237443
283	0.3671356452
284	0.3670549494
285	0.3666773146
286	0.366568437
287	0.3665522154
288	0.3662728729
289	0.366095122
290	0.3660069568
291	0.3656507447
292	0.3655725692
293	0.3655115317
294	0.3652692608
295	0.3651393271
296	0.3650966192
297	0.3650918994
298	0.3649222135
299	0.3647860707
300	0.3646203715
301	0.3645533769
302	0.3642162047
303	0.3641890311
304	0.3639815405
305	0.3637400944
306	0.3636822417
307	0.3636300024
308	0.3635180776
309	0.3634626536
310	0.3632812826
311	0.3632703994
312	0.3632585997
313	0.3631203949
314	0.3630402489
315	0.3629883075
316	0.3628520959
317	0.3626904521
318	0.3624967087
319	0.3621604988
320	0.3620300152
321	0.3617942512
322	0.3617832764
323	0.361714678
324	0.3617068422
325	0.3616929346
326	0.3616750175
327	0.3615191933
328	0.3614439963
329	0.3608587105
330	0.36057002
331	0.3605622299
332	0.3604882014
333	0.3604215047
334	0.3600996835
335	0.3600263423
336	0.3599719723
337	0.359639497
338	0.3595967204
339	0.3595624441
340	0.3594567513
341	0.359342856
342	0.3593018436
343	0.3591469359
344	0.3591381835
345	0.3589290662
346	0.3587095926
347	0.3586348538
348	0.3585388069
349	0.3585175676
350	0.3584958241
351	0.3584907835
352	0.3582615494
353	0.3581361982
354	0.3581290496
355	0.3580604971
356	0.3580351106
357	0.3575390669
358	0.3572972084
359	0.3572080809
360	0.357007945
361	0.3568755369
362	0.3567495899
363	0.3566927454
364	0.3563953712
365	0.356178143
366	0.3560538227
367	0.355905422
368	0.3558665634
369	0.35582814
370	0.3557411434
371	0.3554355667
372	0.3553033418
373	0.3548562839
374	0.3546759439
375	0.3542915731
376	0.3540350967
377	0.3539300683
378	0.3538735216
379	0.3537429923
380	0.3535728023
381	0.3534025207
382	0.3533928519
383	0.3532815456
384	0.3529857065
385	0.3529297326
386	0.3527931087
387	0.3527653165
388	0.3525962492
389	0.352591094
390	0.3524270445
391	0.3523951052
392	0.3522636593
393	0.3520660209
394	0.3518070471
395	0.3515352197
396	0.3514910455
397	0.351437844
398	0.3514062942
399	0.3513825345
