iter	MultiClass
0	1.114575785
1	0.9465554954
2	0.8282055627
3	0.7460209963
4	0.6858231489
5	0.6413416614
6	0.6077320314
7	0.5810048301
8	0.5552950111
9	0.5381685123
10	0.5227408887
11	0.5113441643
12	0.4994541457
13	0.4911127756
14	0.4834974852
15	0.4760652155
16	0.4709244614
17	0.4648170522
18	0.4603013819
19	0.4575130894
20	0.4534809987
21	0.451533483
22	0.4491115525
23	0.4466137834
24	0.4445649969
25	0.4430334248
26	0.4404098233
27	0.4395544744
28	0.4381936421
29	0.4365622655
30	0.4362772408
31	0.4352809834
32	0.4342561319
33	0.4327625478
34	0.4313746794
35	0.4301931102
36	0.4284530393
37	0.4280023154
38	0.4275834391
39	0.4270264038
40	0.4261458518
41	0.4240096333
42	0.4235009422
43	0.4233955014
44	0.4221949611
45	0.4215455906
46	0.4212250066
47	0.4211434859
48	0.4199507356
49	0.419770831
50	0.4197090604
51	0.4183443789
52	0.4181894483
53	0.4180358007
54	0.4178742715
55	0.417382856
56	0.41646482
57	0.416032884
58	0.4155110872
59	0.4154654466
60	0.4153580354
61	0.4153087747
62	0.4148898068
63	0.4146681566
64	0.4145749966
65	0.4143722259
66	0.4143459688
67	0.4133900364
68	0.4114399088
69	0.4103479711
70	0.4099022879
71	0.4098705777
72	0.4091668143
73	0.4085200558
74	0.4083182932
75	0.4081366014
76	0.4077819703
77	0.4073704716
78	0.4070162529
79	0.4068065169
80	0.405979533
81	0.4058968209
82	0.4054955868
83	0.4051281708
84	0.4049533985
85	0.4045292525
86	0.4042607244
87	0.4036869176
88	0.4033406264
89	0.4032999806
90	0.402923858
91	0.4027017954
92	0.4020278175
93	0.402003485
94	0.4013889865
95	0.4012994466
96	0.4010512644
97	0.4010047531
98	0.4008087643
99	0.4007687601
100	0.4006335337
101	0.4001824891
102	0.3996831461
103	0.3996086822
104	0.3985538161
105	0.3984954364
106	0.3976487483
107	0.3972372038
108	0.3968662136
109	0.3966837428
110	0.3966630762
111	0.3962506611
112	0.3961350933
113	0.3959376381
114	0.3958087813
115	0.3956665439
116	0.3954114422
117	0.3949356985
118	0.3947370978
119	0.3943097899
120	0.3940194955
121	0.3939000326
122	0.393878083
123	0.3934939412
124	0.3934521498
125	0.392968616
126	0.3928595093
127	0.3925014414
128	0.392436234
129	0.3916028806
130	0.3912548939
131	0.3909368302
132	0.3905514054
133	0.390104714
134	0.3900272716
135	0.3898517203
136	0.3897296454
137	0.3895992306
138	0.38917733
139	0.3888253108
140	0.3887694514
141	0.3887425528
142	0.3886760623
143	0.3880789311
144	0.3876470409
145	0.3874890401
146	0.387483862
147	0.3870760293
148	0.3868915881
149	0.3867185112
150	0.3864275295
151	0.3862773645
152	0.3862508325
153	0.3859609047
154	0.385859084
155	0.3857201459
156	0.3851660434
157	0.3851431772
158	0.385119028
159	0.385011571
160	0.3848950866
161	0.3848353781
162	0.384776861
163	0.3845634591
164	0.3844316696
165	0.3844176933
166	0.3842708277
167	0.3840726622
168	0.3839197479
169	0.38372715
170	0.3837144797
171	0.38347214
172	0.3833841581
173	0.3829460588
174	0.3829183353
175	0.3828272832
176	0.3824425687
177	0.3823192795
