Hyperparameters,F1-Score on Deceased,Recall on Deceased,Overall Accuracy,Overall Recall(Macro),Overall F1-Score(Macro)
"{'depth': 13, 'l2_leaf_reg': 0.18681178862094783, 'learning_rate': 0.27632134754537385, 'n_estimators': 487}",0.20756565468137061,0.19731773450830975,0.8595335515548281,0.6868212183746442,0.6873731301224957
"{'depth': 9, 'l2_leaf_reg': 0.20288911873776366, 'learning_rate': 0.4610509074967859, 'n_estimators': 442}",0.20749218748520432,0.19786899168634048,0.8620874249863612,0.6890118279732913,0.6896215757617684
"{'depth': 12, 'l2_leaf_reg': 0.2086668739850255, 'learning_rate': 0.5410703012620706, 'n_estimators': 473}",0.20653890908183126,0.17554132286139484,0.8538563829787235,0.6780666514987924,0.6820366892309998
"{'depth': 8, 'l2_leaf_reg': 0.10846730123194981, 'learning_rate': 0.6993849730693569, 'n_estimators': 371}",0.20648921029616876,0.22885003467271298,0.8607644571740316,0.6950543218627626,0.6891272887782269
"{'depth': 7, 'l2_leaf_reg': 0.008255900851160902, 'learning_rate': 0.38877959784422006, 'n_estimators': 459}",0.2042946441738253,0.2084749460430253,0.8583128750681942,0.6881136326370445,0.6861774119368494
"{'depth': 6, 'l2_leaf_reg': 0.07198486817489486, 'learning_rate': 0.6812603720508867, 'n_estimators': 426}",0.20311334740978912,0.21516639006412505,0.8461367975995635,0.6786300491571191,0.6752919992075181
"{'depth': 9, 'l2_leaf_reg': 0.20499146131798032, 'learning_rate': 0.6813782923749521, 'n_estimators': 545}",0.20223057793795504,0.18810453238587221,0.8556942171303874,0.6836921517214527,0.6836113044784887
"{'depth': 13, 'l2_leaf_reg': 0.15381900445559307, 'learning_rate': 0.26415069218344056, 'n_estimators': 373}",0.20150935820476074,0.18726147900547752,0.8606382978723405,0.6849307771497927,0.6866397849806408
"{'depth': 13, 'l2_leaf_reg': 0.18099252124342993, 'learning_rate': 0.5869059367169736, 'n_estimators': 462}",0.2008827955944461,0.1769414771354885,0.8497033551554829,0.6747418388217772,0.677303568718211
"{'depth': 12, 'l2_leaf_reg': 0.16031984078229297, 'learning_rate': 0.6266036937404438, 'n_estimators': 263}",0.19992043075983834,0.18587067467645293,0.8559840425531915,0.6811122614867386,0.6823401291657836
